DocId,Namespace,Type,Member,Reason,linux,osx,win
M:System.Security.Cryptography.ECDsaCng.#ctor,System.Security.Cryptography,ECDsaCng,.ctor(),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.ECDsaCng.#ctor(System.Security.Cryptography.CngKey),System.Security.Cryptography,ECDsaCng,.ctor(CngKey),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.ECDsaCng.#ctor(System.Security.Cryptography.ECCurve),System.Security.Cryptography,ECDsaCng,.ctor(ECCurve),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.ECDsaCng.#ctor(System.Int32),System.Security.Cryptography,ECDsaCng,.ctor(Int32),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.HMACMD5.#ctor,System.Security.Cryptography,HMACMD5,.ctor(),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACMD5.#ctor(System.Byte[]),System.Security.Cryptography,HMACMD5,.ctor(Byte[]),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA1.#ctor,System.Security.Cryptography,HMACSHA1,.ctor(),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA1.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA1,.ctor(Byte[]),PNSE Unreacheable,X,X,X
"M:System.Security.Cryptography.HMACSHA1.#ctor(System.Byte[],System.Boolean)",System.Security.Cryptography,HMACSHA1,".ctor(Byte[], Boolean)",PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA256.#ctor,System.Security.Cryptography,HMACSHA256,.ctor(),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA256.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA256,.ctor(Byte[]),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA384.#ctor,System.Security.Cryptography,HMACSHA384,.ctor(),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA384.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA384,.ctor(Byte[]),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA512.#ctor,System.Security.Cryptography,HMACSHA512,.ctor(),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.HMACSHA512.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA512,.ctor(Byte[]),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.MD5CryptoServiceProvider.#ctor,System.Security.Cryptography,MD5CryptoServiceProvider,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.RNGCryptoServiceProvider.#ctor,System.Security.Cryptography,RNGCryptoServiceProvider,.ctor(),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.RNGCryptoServiceProvider.#ctor(System.Byte[]),System.Security.Cryptography,RNGCryptoServiceProvider,.ctor(Byte[]),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.RNGCryptoServiceProvider.#ctor(System.Security.Cryptography.CspParameters),System.Security.Cryptography,RNGCryptoServiceProvider,.ctor(CspParameters),PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.RNGCryptoServiceProvider.#ctor(System.String),System.Security.Cryptography,RNGCryptoServiceProvider,.ctor(String),PNSE Unreacheable,X,X,X
