DocId,Namespace,Type,Member,Site,linux,osx,win
M:System.ServiceModel.Channels.BodyWriter.EndWriteBodyContents(System.IAsyncResult),System.ServiceModel.Channels,BodyWriter,EndWriteBodyContents(IAsyncResult),M:System.ServiceModel.Channels.BodyWriter.OnEndWriteBodyContents(System.IAsyncResult),X,X,
"M:System.ServiceModel.Channels.BodyWriter.OnBeginWriteBodyContents(System.Xml.XmlDictionaryWriter,System.AsyncCallback,System.Object)",System.ServiceModel.Channels,BodyWriter,"OnBeginWriteBodyContents(XmlDictionaryWriter, AsyncCallback, Object)","M:System.ServiceModel.Channels.BodyWriter.OnBeginWriteBodyContents(System.Xml.XmlDictionaryWriter,System.AsyncCallback,System.Object)",X,X,
M:System.ServiceModel.Channels.BodyWriter.OnEndWriteBodyContents(System.IAsyncResult),System.ServiceModel.Channels,BodyWriter,OnEndWriteBodyContents(IAsyncResult),M:System.ServiceModel.Channels.BodyWriter.OnEndWriteBodyContents(System.IAsyncResult),X,X,
M:System.ServiceModel.Channels.HttpMessageHandlerFactory.Create(System.Net.Http.HttpMessageHandler),System.ServiceModel.Channels,HttpMessageHandlerFactory,Create(HttpMessageHandler),M:System.ServiceModel.Channels.HttpMessageHandlerFactory.GetFuncDetails(System.Func{System.Collections.Generic.IEnumerable{System.Net.Http.DelegatingHandler}}),X,X,
M:System.ServiceModel.Channels.HttpMessageHandlerFactory.OnCreate(System.Net.Http.HttpMessageHandler),System.ServiceModel.Channels,HttpMessageHandlerFactory,OnCreate(HttpMessageHandler),M:System.ServiceModel.Channels.HttpMessageHandlerFactory.GetFuncDetails(System.Func{System.Collections.Generic.IEnumerable{System.Net.Http.DelegatingHandler}}),X,X,
M:System.ServiceModel.Channels.MessageHeaders.set_To(System.Uri),System.ServiceModel.Channels,MessageHeaders,set_To(Uri),"M:System.ServiceModel.Channels.ToHeader.Create(System.Uri,System.ServiceModel.Channels.AddressingVersion)",X,X,
M:System.ServiceModel.Channels.RequestChannel.AddHeadersTo(System.ServiceModel.Channels.Message),System.ServiceModel.Channels,RequestChannel,AddHeadersTo(Message),"M:System.ServiceModel.Channels.ToHeader.Create(System.Uri,System.ServiceModel.Channels.AddressingVersion)",X,X,
M:System.ServiceModel.Channels.SecurityBindingElement.CreateCertificateOverTransportBindingElement(System.ServiceModel.MessageSecurityVersion),System.ServiceModel.Channels,SecurityBindingElement,CreateCertificateOverTransportBindingElement(MessageSecurityVersion),M:System.ServiceModel.Channels.SecurityBindingElement.CreateCertificateOverTransportBindingElement(System.ServiceModel.MessageSecurityVersion),X,X,
M:System.ServiceModel.Channels.SecurityBindingElement.CreateMutualCertificateBindingElement,System.ServiceModel.Channels,SecurityBindingElement,CreateMutualCertificateBindingElement(),"M:System.ServiceModel.Channels.SecurityBindingElement.CreateMutualCertificateBindingElement(System.ServiceModel.MessageSecurityVersion,System.Boolean)",X,X,
M:System.ServiceModel.Channels.SecurityBindingElement.CreateMutualCertificateBindingElement(System.ServiceModel.MessageSecurityVersion),System.ServiceModel.Channels,SecurityBindingElement,CreateMutualCertificateBindingElement(MessageSecurityVersion),"M:System.ServiceModel.Channels.SecurityBindingElement.CreateMutualCertificateBindingElement(System.ServiceModel.MessageSecurityVersion,System.Boolean)",X,X,
"M:System.ServiceModel.Channels.SecurityBindingElement.CreateMutualCertificateBindingElement(System.ServiceModel.MessageSecurityVersion,System.Boolean)",System.ServiceModel.Channels,SecurityBindingElement,"CreateMutualCertificateBindingElement(MessageSecurityVersion, Boolean)","M:System.ServiceModel.Channels.SecurityBindingElement.CreateMutualCertificateBindingElement(System.ServiceModel.MessageSecurityVersion,System.Boolean)",X,X,
M:System.ServiceModel.Channels.SecurityBindingElement.CreateSecureConversationBindingElement(System.ServiceModel.Channels.SecurityBindingElement),System.ServiceModel.Channels,SecurityBindingElement,CreateSecureConversationBindingElement(SecurityBindingElement),M:System.ServiceModel.Channels.SecurityBindingElement.CreateSecureConversationBindingElement(System.ServiceModel.Channels.SecurityBindingElement),X,X,
"M:System.ServiceModel.Channels.SecurityBindingElement.SetIssuerBindingContextIfRequired(System.ServiceModel.Security.Tokens.SecurityTokenParameters,System.ServiceModel.Channels.BindingContext)",System.ServiceModel.Channels,SecurityBindingElement,"SetIssuerBindingContextIfRequired(SecurityTokenParameters, BindingContext)","M:System.ServiceModel.Channels.SecurityBindingElement.SetIssuerBindingContextIfRequired(System.ServiceModel.Security.Tokens.SecurityTokenParameters,System.ServiceModel.Channels.BindingContext)",X,X,
M:System.ServiceModel.Channels.ServiceModelHttpMessageHandler.set_CheckCertificateRevocationList(System.Boolean),System.ServiceModel.Channels,ServiceModelHttpMessageHandler,set_CheckCertificateRevocationList(Boolean),M:System.ServiceModel.Channels.ServiceModelHttpMessageHandler.set_CheckCertificateRevocationList(System.Boolean),X,X,
M:System.ServiceModel.Channels.ServiceModelHttpMessageHandler.set_Proxy(System.Net.IWebProxy),System.ServiceModel.Channels,ServiceModelHttpMessageHandler,set_Proxy(IWebProxy),M:System.ServiceModel.Channels.ServiceModelHttpMessageHandler.set_Proxy(System.Net.IWebProxy),X,X,
"M:System.ServiceModel.Channels.TransportDuplexSessionChannel.#ctor(System.ServiceModel.Channels.ChannelManagerBase,System.ServiceModel.Channels.ITransportFactorySettings,System.ServiceModel.EndpointAddress,System.Uri,System.ServiceModel.EndpointAddress,System.Uri)",System.ServiceModel.Channels,TransportDuplexSessionChannel,".ctor(ChannelManagerBase, ITransportFactorySettings, EndpointAddress, Uri, EndpointAddress, Uri)","M:System.ServiceModel.Channels.ToHeader.Create(System.Uri,System.Xml.XmlDictionaryString,System.ServiceModel.Channels.AddressingVersion)",X,X,
M:System.ServiceModel.Channels.TransportDuplexSessionChannel.OnReceiveMessage(System.ServiceModel.Channels.Message),System.ServiceModel.Channels,TransportDuplexSessionChannel,OnReceiveMessage(Message),M:System.Runtime.Diagnostics.EventTraceActivity.GetActivityIdFromThread,X,X,
M:System.ServiceModel.Channels.TransportDuplexSessionChannel.PrepareMessage(System.ServiceModel.Channels.Message),System.ServiceModel.Channels,TransportDuplexSessionChannel,PrepareMessage(Message),M:System.Runtime.Diagnostics.EventTraceActivity.GetActivityIdFromThread,X,X,
M:System.ServiceModel.Channels.TransportDuplexSessionChannel.Receive(System.TimeSpan),System.ServiceModel.Channels,TransportDuplexSessionChannel,Receive(TimeSpan),M:System.Runtime.Diagnostics.EventTraceActivity.GetActivityIdFromThread,X,X,
"M:System.ServiceModel.Channels.TransportOutputChannel.#ctor(System.ServiceModel.Channels.ChannelManagerBase,System.ServiceModel.EndpointAddress,System.Uri,System.Boolean,System.ServiceModel.Channels.MessageVersion)",System.ServiceModel.Channels,TransportOutputChannel,".ctor(ChannelManagerBase, EndpointAddress, Uri, Boolean, MessageVersion)","M:System.ServiceModel.Channels.ToHeader.Create(System.Uri,System.Xml.XmlDictionaryString,System.ServiceModel.Channels.AddressingVersion)",X,X,
M:System.ServiceModel.Channels.TransportSecurityBindingElement.GetProperty``1(System.ServiceModel.Channels.BindingContext),System.ServiceModel.Channels,TransportSecurityBindingElement,GetProperty<T>(BindingContext),M:System.ServiceModel.Channels.TransportSecurityBindingElement.GetProperty``1(System.ServiceModel.Channels.BindingContext),X,X,
M:System.ServiceModel.Channels.WebSocketTransportSettings.get_DisablePayloadMasking,System.ServiceModel.Channels,WebSocketTransportSettings,get_DisablePayloadMasking(),M:System.ServiceModel.Channels.WebSocketTransportSettings.get_DisablePayloadMasking,X,X,
M:System.ServiceModel.Channels.WebSocketTransportSettings.set_DisablePayloadMasking(System.Boolean),System.ServiceModel.Channels,WebSocketTransportSettings,set_DisablePayloadMasking(Boolean),M:System.ServiceModel.Channels.WebSocketTransportSettings.set_DisablePayloadMasking(System.Boolean),X,X,
"M:System.ServiceModel.Dispatcher.OperationInvokerBehavior.System#ServiceModel#Description#IOperationBehavior#ApplyDispatchBehavior(System.ServiceModel.Description.OperationDescription,System.ServiceModel.Dispatcher.DispatchOperation)",System.ServiceModel.Dispatcher,OperationInvokerBehavior,"System.ServiceModel.Description.IOperationBehavior.ApplyDispatchBehavior(OperationDescription, DispatchOperation)","M:System.ServiceModel.Dispatcher.OperationInvokerBehavior.System#ServiceModel#Description#IOperationBehavior#ApplyDispatchBehavior(System.ServiceModel.Description.OperationDescription,System.ServiceModel.Dispatcher.DispatchOperation)",X,X,
"M:System.ServiceModel.Dispatcher.SyncMethodInvoker.InvokeBegin(System.Object,System.Object[],System.AsyncCallback,System.Object)",System.ServiceModel.Dispatcher,SyncMethodInvoker,"InvokeBegin(Object, Object[], AsyncCallback, Object)",M:System.Runtime.Diagnostics.DiagnosticTraceBase.set_ActivityId(System.Guid),X,X,
"M:System.ServiceModel.Security.MessageSecurityException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel.Security,MessageSecurityException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.Security.MessageSecurityException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.Security.SecurityAccessDeniedException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel.Security,SecurityAccessDeniedException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.Security.SecurityAccessDeniedException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.Security.SecurityNegotiationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel.Security,SecurityNegotiationException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.Security.SecurityNegotiationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.Security.WSSecurityTokenSerializer.#ctor(System.ServiceModel.Security.SecurityVersion,System.Boolean,System.IdentityModel.Tokens.SamlSerializer)",System.ServiceModel.Security,WSSecurityTokenSerializer,".ctor(SecurityVersion, Boolean, SamlSerializer)","M:System.ServiceModel.Security.WSSecurityTokenSerializer.#ctor(System.ServiceModel.Security.SecurityVersion,System.ServiceModel.Security.TrustVersion,System.ServiceModel.Security.SecureConversationVersion,System.Boolean,System.IdentityModel.Tokens.SamlSerializer,System.ServiceModel.Security.SecurityStateEncoder,System.Collections.Generic.IEnumerable{System.Type},System.Int32,System.Int32,System.Int32)",X,X,
